No.,等次,词语,类别
1,初等,老张,称呼
2,初等,王老师,称呼
3,初等,高叔叔,称呼
4,初等,李阿姨,称呼
5,初等,春节,传统节日
6,初等,中秋节,传统节日
7,初等,国家图书馆,单位组织名
8,初等,中国银行,单位组织名
9,初等,北京,地名
10,初等,海南,地名
11,初等,上海,地名
12,初等,南京,地名
13,初等,西安,地名
14,初等,黄河,著名河流
15,初等,长江,著名河流
16,初等,北京西站,火车站名
17,初等,北海公园,名胜古迹
18,初等,黄山,名胜古迹
19,初等,长城,名胜古迹
20,初等,天安门,名胜古迹
21,初等,《百家姓》,书名
22,初等,《十万个为什么》,书名
23,初等,陈,姓氏
24,初等,刘,姓氏
25,初等,北京大学,著名大学
26,初等,清华大学,著名大学
27,中等,微信,常用软件
28,中等,支付宝,常用软件
29,中等,微博,常用软件
30,中等,春秋,朝代
31,中等,战国,朝代
32,中等,秦,朝代
33,中等,汉,朝代
34,中等,唐,朝代
35,中等,宋,朝代
36,中等,元,朝代
37,中等,明,朝代
38,中等,清,朝代
39,中等,舞龙,传统活动
40,中等,舞狮,传统活动
41,中等,赛龙舟,传统活动
42,中等,四合院,传统建筑
43,中等,端午节,传统节日
44,中等,清明节,传统节日
45,中等,元宵节,传统节日
46,中等,重阳节,传统节日
47,中等,泼水节,传统节日
48,中等,劳动节,节日
49,中等,国庆节,节日
50,中等,剪纸,传统艺术
51,中等,窗花,传统艺术
52,中等,太极拳,传统运动
53,中等,拔河,传统运动
54,中等,踢毽子,传统运动
55,中等,国家大剧院,单位组织名
56,中等,中国国际航空公司,单位组织名
57,中等,深圳,地名
58,中等,天津,地名
59,中等,云南,地名
60,中等,重庆,地名
61,中等,广州,地名
62,中等,四川,地名
63,中等,孔子,古代人物
64,中等,老子,古代人物
65,中等,李白,古代人物
66,中等,白居易,古代人物
67,中等,杜甫,古代人物
68,中等,唐诗,古代文学体裁
69,中等,宋词,古代文学体裁
70,中等,北京首都国际机场,机场名
71,中等,桂林山水,名胜古迹
72,中等,九寨沟,名胜古迹
73,中等,故宫,名胜古迹
74,中等,兵马俑,名胜古迹
75,中等,恒山,名胜古迹
76,中等,衡山,名胜古迹
77,中等,华山,名胜古迹
78,中等,嵩山,名胜古迹
79,中等,泰山,名胜古迹
80,中等,少林寺,名胜古迹
81,中等,西湖,名胜古迹
82,中等,张家界国家森林公园,名胜古迹
83,中等,苏州园林,名胜古迹
84,中等,长江大桥,桥梁名
85,中等,《现代汉语词典》,书名
86,中等,《三字经》,书名
87,中等,世界杯,体育赛事
88,中等,奥运会,体育赛事
89,中等,鲁迅,现当代文学家
90,中等,老舍,现当代文学家
91,中等,冰心,现当代文学家
92,中等,梅兰芳,艺术名家
93,中等,齐白石,艺术名家
