No.,级别,汉字
1,二级,爱
2,二级,八
3,二级,爸
4,二级,百
5,二级,半
6,二级,比
7,二级,边
8,二级,不
9,二级,茶
10,二级,打
11,二级,大
12,二级,地
13,二级,的
14,二级,点
15,二级,对
16,二级,多
17,二级,儿
18,二级,二
19,二级,分
20,二级,哥
21,二级,个
22,二级,工
23,二级,口
24,二级,国
25,二级,过
26,二级,还
27,二级,汉
28,二级,好
29,二级,和
30,二级,很
31,二级,后
32,二级,会
33,二级,几
34,二级,家
35,二级,间
36,二级,叫
37,二级,姐
38,二级,今
39,二级,男
40,二级,九
41,二级,可
42,二级,来
43,二级,了
44,二级,两
45,二级,六
46,二级,妈
47,二级,吗
48,二级,么
49,二级,没
50,二级,们
51,二级,名
52,二级,那
53,二级,你
54,二级,年
55,二级,七
56,二级,去
57,二级,人
58,二级,日
59,二级,三
60,二级,少
61,二级,上
62,二级,什
63,二级,生
64,二级,十
65,二级,时
66,二级,是
67,二级,书
68,二级,说
69,二级,四
70,二级,岁
71,二级,他
72,二级,她
73,二级,天
74,二级,同
75,二级,为
76,二级,文
77,二级,我
78,二级,五
79,二级,午
80,二级,习
81,二级,下
82,二级,小
83,二级,现
84,二级,写
85,二级,学
86,二级,要
87,二级,也
88,二级,一
89,二级,以
90,二级,有
91,二级,语
92,二级,月
93,二级,在
94,二级,长
95,二级,这
96,二级,中
97,二级,子
98,二级,女
99,二级,字
100,二级,作
101,三级,安
102,三级,把
103,三级,般
104,三级,板
105,三级,办
106,三级,饱
107,三级,报
108,三级,北
109,三级,被
110,三级,必
111,三级,变
112,三级,冰
113,三级,才
114,三级,参
115,三级,草
116,三级,层
117,三级,查
118,三级,差
119,三级,成
120,三级,城
121,三级,除
122,三级,处
123,三级,春
124,三级,答
125,三级,带
126,三级,单
127,三级,当
128,三级,灯
129,三级,典
130,三级,调
131,三级,定
132,三级,丢
133,三级,冬
134,三级,段
135,三级,而
136,三级,耳
137,三级,发
138,三级,法
139,三级,方
140,三级,放
141,三级,风
142,三级,复
143,三级,该
144,三级,干
145,三级,刚
146,三级,更
147,三级,共
148,三级,故
149,三级,瓜
150,三级,海
151,三级,合
152,三级,河
153,三级,护
154,三级,化
155,三级,换
156,三级,活
157,三级,或
158,三级,级
159,三级,急
160,三级,加
161,三级,假
162,三级,讲
163,三级,角
164,三级,饺
165,三级,节
166,三级,结
167,三级,借
168,三级,斤
169,三级,净
170,三级,久
171,三级,句
172,三级,卡
173,三级,渴
174,三级,刻
175,三级,空
176,三级,哭
177,三级,礼
178,三级,李
179,三级,力
180,三级,练
181,三级,凉
182,三级,马
183,三级,毛
184,三级,目
185,三级,南
186,三级,难
187,三级,努
188,三级,怕
189,三级,胖
190,三级,片
191,三级,平
192,三级,瓶
193,三级,其
194,三级,汽
195,三级,且
196,三级,轻
197,三级,秋
198,三级,求
199,三级,区
200,三级,全
201,三级,如
202,三级,伞
203,三级,山
204,三级,勺
205,三级,声
206,三级,实
207,三级,适
208,三级,收
209,三级,受
210,三级,树
211,三级,特
212,三级,挺
213,三级,图
214,三级,闻
215,三级,务
216,三级,物
217,三级,夏
218,三级,相
219,三级,香
220,三级,响
221,三级,向
222,三级,心
223,三级,信
224,三级,行
225,三级,须
226,三级,选
227,三级,牙
228,三级,言
229,三级,羊
230,三级,阳
231,三级,养
232,三级,业
233,三级,页
234,三级,音
235,三级,饮
236,三级,应
237,三级,用
238,三级,又
239,三级,于
240,三级,育
241,三级,咱
242,三级,张
243,三级,者
244,三级,直
245,三级,纸
246,三级,种
247,三级,重
248,三级,主
249,三级,助
250,三级,总
251,四级,巴
252,四级,保
253,四级,抱
254,四级,背
255,四级,标
256,四级,并
257,四级,部
258,四级,餐
259,四级,产
260,四级,厂
261,四级,晨
262,四级,程
263,四级,吹
264,四级,此
265,四级,村
266,四级,达
267,四级,刀
268,四级,导
269,四级,倒
270,四级,低
271,四级,掉
272,四级,度
273,四级,断
274,四级,队
275,四级,烦
276,四级,反
277,四级,份
278,四级,否
279,四级,父
280,四级,改
281,四级,敢
282,四级,各
283,四级,够
284,四级,挂
285,四级,观
286,四级,管
287,四级,广
288,四级,喊
289,四级,忽
290,四级,虎
291,四级,划
292,四级,基
293,四级,及
294,四级,计
295,四级,技
296,四级,际
297,四级,济
298,四级,寄
299,四级,建
300,四级,江
301,四级,将
302,四级,金
303,四级,京
304,四级,究
305,四级,举
306,四级,科
307,四级,克
308,四级,况
309,四级,困
310,四级,拉
311,四级,利
312,四级,例
313,四级,俩
314,四级,连
315,四级,联
316,四级,量
317,四级,另
318,四级,流
319,四级,论
320,四级,麻
321,四级,美
322,四级,民
323,四级,内
324,四级,农
325,四级,弄
326,四级,排
327,四级,牌
328,四级,篇
329,四级,品
330,四级,普
331,四级,强
332,四级,青
333,四级,取
334,四级,确
335,四级,任
336,四级,扔
337,四级,入
338,四级,社
339,四级,深
340,四级,省
341,四级,食
342,四级,使
343,四级,示
344,四级,式
345,四级,输
346,四级,熟
347,四级,术
348,四级,顺
349,四级,随
350,四级,台
351,四级,态
352,四级,谈
353,四级,汤
354,四级,堂
355,四级,讨
356,四级,套
357,四级,庭
358,四级,停
359,四级,通
360,四级,痛
361,四级,土
362,四级,推
363,四级,味
364,四级,温
365,四级,无
366,四级,误
367,四级,线
368,四级,象
369,四级,性
370,四级,兄
371,四级,许
372,四级,血
373,四级,压
374,四级,亚
375,四级,研
376,四级,验
377,四级,夜
378,四级,印
379,四级,永
380,四级,由
381,四级,油
382,四级,与
383,四级,原
384,四级,约
385,四级,云
386,四级,增
387,四级,章
388,四级,之
389,四级,支
390,四级,止
391,四级,指
392,四级,至
393,四级,志
394,四级,众
