No.,级别,汉字
1,一级,爱
2,一级,八
3,一级,爸
4,一级,吧
5,一级,白
6,一级,百
7,一级,班
8,一级,半
9,一级,包
10,一级,杯
11,一级,本
12,一级,边
13,一级,便
14,一级,病
15,一级,不
16,一级,菜
17,一级,茶
18,一级,常
19,一级,唱
20,一级,超
21,一级,车
22,一级,吃
23,一级,出
24,一级,穿
25,一级,床
26,一级,打
27,一级,大
28,一级,蛋
29,一级,到
30,一级,道
31,一级,得
32,一级,的
33,一级,弟
34,一级,第
35,一级,点
36,一级,电
37,一级,东
38,一级,都
39,一级,读
40,一级,对
41,一级,多
42,一级,儿
43,一级,二
44,一级,饭
45,一级,房
46,一级,飞
47,一级,非
48,一级,分
49,一级,服
50,一级,高
51,一级,哥
52,一级,歌
53,一级,个
54,一级,给
55,一级,工
56,一级,公
57,一级,狗
58,一级,关
59,一级,贵
60,一级,国
61,一级,果
62,一级,还
63,一级,孩
64,一级,汉
65,一级,好
66,一级,号
67,一级,喝
68,一级,和
69,一级,很
70,一级,后
71,一级,候
72,一级,话
73,一级,欢
74,一级,回
75,一级,会
76,一级,火
77,一级,机
78,一级,鸡
79,一级,几
80,一级,家
81,一级,间
82,一级,见
83,一级,件
84,一级,叫
85,一级,姐
86,一级,今
87,一级,九
88,一级,觉
89,一级,开
90,一级,看
91,一级,可
92,一级,客
93,一级,课
94,一级,口
95,一级,块
96,一级,来
97,一级,老
98,一级,了
99,一级,冷
100,一级,里
101,一级,两
102,一级,亮
103,一级,零
104,一级,六
105,一级,妈
106,一级,吗
107,一级,买
108,一级,卖
109,一级,忙
110,一级,猫
111,一级,么
112,一级,没
113,一级,妹
114,一级,们
115,一级,米
116,一级,面
117,一级,名
118,一级,明
119,一级,哪
120,一级,那
121,一级,奶
122,一级,男
123,一级,脑
124,一级,呢
125,一级,能
126,一级,你
127,一级,年
128,一级,您
129,一级,牛
130,一级,女
131,一级,朋
132,一级,漂
133,一级,苹
134,一级,七
135,一级,期
136,一级,起
137,一级,气
138,一级,千
139,一级,前
140,一级,钱
141,一级,请
142,一级,去
143,一级,热
