No.,级别,词语,拼音,词性
1,一级,爱,ài,动
2,一级,八,bā,数
3,一级,爸爸,bàba,名
4,一级,吧,ba,助
5,一级,白天,báitiān,名
6,一级,百,bǎi,数
7,一级（四级）,半,bàn,数、（副）
8,一级,包子,bāozi,名
9,一级,杯子,bēizi,名
10,一级,本1,běn,量
11,一级,边,biān,名、后缀
12,一级,病,bìng,名、动
13,一级,不,bù,副
14,一级,不客气,bú kèqi,
15,一级,不要,búyào,副
16,一级,菜,cài,名
17,一级,茶,chá,名
18,一级,唱,chàng,动
19,一级,超市,chāoshì,名
20,一级,车,chē,名
21,一级,吃,chī,动
22,一级,出租车,chūzūchē,名
23,一级,穿,chuān,动
24,一级,打电话,dǎ diànhuà,
25,一级,大,dà,形
26,一级,大家,dàjiā,代
27,一级,大学,dàxué,名
28,一级,大学生,dàxuéshēng,名
29,一级,到,dào,动
30,一级,的,de,助
31,一级,第,dì,前缀
32,一级,弟弟,dìdi,名
33,一级（三级）,点1,diǎn,量、（名）
34,一级,店,diàn,名
35,一级,电话,diànhuà,名
36,一级,电脑,diànnǎo,名
37,一级,电视,diànshì,名
38,一级,电影,diànyǐng,名
39,一级,电影院,diànyǐngyuàn,名
40,一级,东西,dōngxi,名
41,一级,都,dōu,副
42,一级,读,dú,动
43,一级,读书,dúshū,动
44,一级（四级）,对,duì,形、介、（动、量）
45,一级,对不起,duìbuqǐ,动
46,一级（二级）,多,duō,形、动、代、（数、副）
47,一级,多少,duōshao,代
48,一级,儿子,érzi,名
49,一级,二,èr,数
50,一级,饭,fàn,名
51,一级,饭店,fàndiàn,名
52,一级,房间,fángjiān,名
53,一级,非常,fēicháng,副
54,一级,飞机,fēijī,名
55,一级（三级）,分,fēn,量、（动、名）
56,一级,分钟,fēnzhōng,量
57,一级,高兴,gāoxìng,形
58,一级,歌,gē,名
59,一级,哥哥,gēge,名
60,一级,个,gè,量
61,一级（二级）,给,gěi,动、（介）
62,一级,公司,gōngsī,名
63,一级,工作,gōngzuò,动、名
64,一级,狗,gǒu,名
65,一级,贵,guì,形
66,一级,国,guó,名
67,一级,还,hái,副
68,一级,孩子,háizi,名
69,一级,汉语,Hànyǔ,名
70,一级,汉字,Hànzì,名
71,一级（二级）（四级）,好,hǎo,形、（副）、（动）
72,一级,好吃,hǎochī,形
73,一级,好看,hǎokàn,形
74,一级,好听,hǎotīng,形
75,一级,好玩儿,hǎowánr,形
76,一级,号,hào,名、量
77,一级,喝,hē,动
78,一级,和1,hé,介、连
79,一级,很,hěn,副
80,一级,后,hòu,名
81,一级（三级）,回,huí,动、（量）
82,一级,会1,huì,动
83,一级,火车,huǒchē,名
84,一级,鸡蛋,jīdàn,名
85,一级,几,jǐ,代、数
86,一级（三级）,家,jiā,名、量、（后缀）
87,一级,家人,jiārén,名
88,一级,见,jiàn,动
89,一级,件,jiàn,量
90,一级,饺子,jiǎozi,名
91,一级（四级）,叫,jiào,动、（介）
92,一级,姐姐,jiějie,名
93,一级,今年,jīnnián,名
94,一级,今天,jīntiān,名
95,一级,九,jiǔ,数
96,一级,觉得,juéde,动
97,一级,开,kāi,动
98,一级,开车,kāichē,动
99,一级,看,kàn,动
100,一级,看病,kànbìng,动
101,一级,看见,kànjiàn,动
102,一级,可以,kěyǐ,动、形
103,一级,课,kè,名
104,一级,口,kǒu,名、量
105,一级,块,kuài,量
106,一级,来,lái,动
107,一级,老师,lǎoshī,名
108,一级,了,le,助
109,一级,冷,lěng,形
110,一级,里,lǐ,名
111,一级,两1,liǎng,数
112,一级,零,líng,数
113,一级,六,liù,数
114,一级,妈妈,māma,名
115,一级,吗,ma,助
116,一级,买,mǎi,动
117,一级,卖,mài,动
118,一级,忙,máng,形、动
119,一级,猫,māo,名
120,一级,没关系,méi guānxi,
121,一级,没事,méishì,动
122,一级,没有,méiyǒu,动、副
123,一级,妹妹,mèimei,名
124,一级,们,men,后缀
125,一级,米饭,mǐfàn,名
126,一级,面包,miànbāo,名
127,一级,面条儿,miàntiáor,名
128,一级,明年,míngnián,名
129,一级,明天,míngtiān,名
130,一级,名字,míngzi,名
131,一级,哪,nǎ,代
132,一级,哪个,nǎge,代
133,一级,哪里,nǎlǐ,代
134,一级,哪儿,nǎr,代
135,一级,哪些,nǎxiē,代
136,一级（二级）,那,nà,代、（连）
137,一级,那边,nàbiān,代
138,一级,那个,nàge,代
139,一级,那里,nàlǐ,代
140,一级,那儿,nàr,代
141,一级,那些,nàxiē,代
142,一级,男,nán,形
143,一级,男朋友,nánpéngyou,名
144,一级,呢,ne,助
145,一级,能,néng,动
146,一级,你,nǐ,代
147,一级,你好,nǐ hǎo,
148,一级,你们,nǐmen,代
149,一级,年,nián,名、量
150,一级,您,nín,代
151,一级,牛奶,niúnǎi,名
152,一级,女,nǚ,形
153,一级,女儿,nǚ’ér,名
154,一级,女朋友,nǚpéngyou,名
155,一级,女士,nǚshì,名
156,一级,朋友,péngyou,名
157,一级,便宜,piányi,形
158,一级,漂亮,piàoliang,形
159,一级,苹果,píngguǒ,名
160,一级,七,qī,数
161,一级,起床,qǐchuáng,动
162,一级,千,qiān,数
163,一级,前,qián,名
164,一级,钱,qián,名
165,一级,请,qǐng,动
166,一级,请问,qǐngwèn,动
167,一级,去,qù,动
168,一级,去年,qùnián,名
169,一级,热,rè,形
170,一级,人,rén,名
171,一级,认识,rènshi,动
172,一级（四级）,日,rì,量、（名）
173,一级,三,sān,数
174,一级,商店,shāngdiàn,名
175,一级,上,shàng,名、动
176,一级,上班,shàngbān,动
177,一级,上课,shàngkè,动
178,一级,上午,shàngwǔ,名
179,一级,上学,shàngxué,动
180,一级,少,shǎo,形、动
181,一级,谁,shéi/shuí,代
182,一级,什么,shénme,代
183,一级,生病,shēngbìng,动
184,一级,十,shí,数
185,一级,时候,shíhou,名
186,一级,时间,shíjiān,名
187,一级,事,shì,名
188,一级,是,shì,动
189,一级,手机,shǒujī,名
190,一级,书,shū,名
191,一级,书店,shūdiàn,名
192,一级,水,shuǐ,名
193,一级,水果,shuǐguǒ,名
194,一级,睡,shuì,动
195,一级,睡觉,shuìjiào,动
196,一级,说,shuō,动
197,一级,说话,shuōhuà,动
198,一级,四,sì,数
199,一级,岁,suì,量
200,一级,他,tā,代
201,一级,它,tā,代
202,一级,她,tā,代
203,一级,他们,tāmen,代
204,一级,它们,tāmen,代
205,一级,她们,tāmen,代
206,一级,太,tài,副
207,一级,天,tiān,名、量
208,一级,天气,tiānqì,名
209,一级,听,tīng,动
210,一级,听见,tīngjiàn,动
211,一级,同学,tóngxué,名
212,一级,外,wài,名
213,一级,外边,wàibian,名
214,一级,玩,wán,动
215,一级,晚,wǎn,形
216,一级,晚饭,wǎnfàn,名
217,一级,晚上,wǎnshang,名
218,一级,喂1,wèi,叹
219,一级,问,wèn,动
220,一级,问题,wèntí,名
221,一级,我,wǒ,代
222,一级,我们,wǒmen,代
223,一级,五,wǔ,数
224,一级,午饭,wǔfàn,名
225,一级,喜欢,xǐhuan,动
226,一级,下,xià,名、动、量
227,一级,下雨,xià yǔ,
228,一级,下班,xiàbān,动
229,一级,下课,xiàkè,动
230,一级,下午,xiàwǔ,名
231,一级,先生,xiānsheng,名
232,一级,现在,xiànzài,名
233,一级,想,xiǎng,动
234,一级,小,xiǎo,形、前缀
235,一级,小朋友,xiǎopéngyǒu,名
236,一级,小时,xiǎoshí,名
237,一级,小学,xiǎoxué,名
238,一级,小学生,xiǎoxuéshēng,名
239,一级,些,xiē,量
240,一级,写,xiě,动
241,一级,谢谢,xièxie,动
242,一级,新,xīn,形
243,一级,星期,xīngqī,名
244,一级,星期日,xīngqīrì,名
245,一级,星期天,xīngqītiān,名
246,一级,休息,xiūxi,动
247,一级,学,xué,动
248,一级,学生,xuéshēng,名
249,一级,学习,xuéxí,动
250,一级,学校,xuéxiào,名
251,一级,雪,xuě,名
252,一级,要,yào,动
253,一级,也,yě,副
254,一级,一,yī,数
255,一级,衣服,yīfu,名
256,一级,医生,yīshēng,名
257,一级,医院,yīyuàn,名
258,一级,一半,yíbàn,数
259,一级（四级）,一下,yíxià,数量、（副）
260,一级,椅子,yǐzi,名
261,一级,一点儿,yìdiǎnr,数量
262,一级,一些,yìxiē,数量
263,一级,有,yǒu,动
264,一级,有的,yǒude,代
265,一级,有点儿,yǒudiǎnr,副
266,一级（三级）,有些,yǒuxiē,代、（副）
267,一级,雨,yǔ,名
268,一级,元,yuán,量
269,一级,月,yuè,名
270,一级,再,zài,副
271,一级,在,zài,动、介、副
272,一级,再见,zàijiàn,动
273,一级,早,zǎo,形
274,一级,早饭,zǎofàn,名
275,一级,早上,zǎoshang,名
276,一级,怎么,zěnme,代
277,一级,怎么样,zěnmeyàng,代
278,一级,找,zhǎo,动
279,一级,这,zhè,代
280,一级,这边,zhèbiān,代
281,一级,这个,zhège,代
282,一级,这里,zhèlǐ,代
283,一级,这儿,zhèr,代
284,一级,这些,zhèxiē,代
285,一级（四级）,真,zhēn,副、（形）
286,一级,正在,zhèngzài,副
287,一级,只,zhī,量
288,一级,知道,zhīdào,动
289,一级,中国,Zhōngguó,名
290,一级,中文,Zhōngwén,名
291,一级,中午,zhōngwǔ,名
292,一级,中学,zhōngxué,名
293,一级,中学生,zhōngxuéshēng,名
294,一级,住,zhù,动
295,一级,桌子,zhuōzi,名
296,一级,字,zì,名
297,一级,昨天,zuótiān,名
298,一级,坐,zuò,动
299,一级,做,zuò,动
300,一级,做饭,zuò fàn,
301,二级,啊,a,助
302,二级,爱好,àihào,动、名
303,二级,白色,báisè,名
304,二级（五级）,班,bān,名、（量）
305,二级,帮,bāng,动
306,二级,帮忙,bāngmáng,动
307,二级,包,bāo,动、名、量
308,二级,本子,běnzi,名
309,二级,比,bǐ,动、介
310,二级（五级）,笔,bǐ,名、（量）
311,二级,别1,bié,副
312,二级,不错,búcuò,形
313,二级,不好意思,bù hǎoyìsi,
314,二级,长,cháng,形
315,二级,车站,chēzhàn,名
316,二级,出,chū,动
317,二级,出国,chūguó,动
318,二级,出来,chūlái,动
319,二级,出门,chūmén,动
320,二级,出去,chūqù,动
321,二级,床,chuáng,名
322,二级,词,cí,名
323,二级（七-九级）,次,cì,量、（形）
324,二级（四级）,从,cóng,介、（副）
325,二级,从小,cóngxiǎo,副
326,二级,错,cuò,形
327,二级,打1,dǎ,动
328,二级,打车,dǎchē,动
329,二级,打开,dǎkāi,动
330,二级（七-九级）,但,dàn,连、（副）
331,二级,但是,dànshì,连
332,二级,得,de,助
333,二级,地,de,助
334,二级（四级）,等1,děng,动、（介）
335,二级,地铁,dìtiě,名
336,二级（四级）,点2,diǎn,动、（名、量）
337,二级,懂,dǒng,动
338,二级,动,dòng,动
339,二级,饭馆,fànguǎn,名
340,二级,飞,fēi,动
341,二级,高,gāo,形、名
342,二级,高中,gāozhōng,名
343,二级,告诉,gàosu,动
344,二级,个子,gèzi,名
345,二级（五级）,跟,gēn,介、连、（名、动）
346,二级,公交车,gōngjiāochē,名
347,二级,过,guò,动
348,二级,过来,guòlái,动
349,二级,过年,guònián,动
350,二级,过去1,guòqù,动
351,二级,过,guo,助
352,二级,还是,háishi,副、连
353,二级,黑色,hēisè,名
354,二级,红茶,hóngchá,名
355,二级,红色,hóngsè,名
356,二级,后面,hòumiàn,名
357,二级,花1,huā,动
358,二级（六级）,花2,huā,名、（形）
359,二级,画,huà,动、名
360,二级,坏,huài,形
361,二级,回来,huílái,动
362,二级,回去,huíqù,动
363,二级,机场,jīchǎng,名
364,二级,机票,jīpiào,名
365,二级,记得,jìde,动
366,二级（四级）,间,jiān,量、（名）
367,二级,教,jiāo,动
368,二级,教室,jiàoshì,名
369,二级,介绍,jièshào,动
370,二级,进,jìn,动
371,二级,近,jìn,形
372,二级,进来,jìnlái,动
373,二级,进去,jìnqù,动
374,二级,经常,jīngcháng,副
375,二级,酒店,jiǔdiàn,名
376,二级（七-九级）,就,jiù,副、（介）
377,二级,咖啡,kāfēi,名
378,二级,开始,kāishǐ,动、名
379,二级,开学,kāixué,动
380,二级,考,kǎo,动
381,二级,考试,kǎoshì,动、名
382,二级,可能,kěnéng,形、名、动
383,二级,裤子,kùzi,名
384,二级,快,kuài,形、副
385,二级,快乐,kuàilè,形
386,二级,快要,kuàiyào,副
387,二级,篮球,lánqiú,名
388,二级,累,lèi,形、动
389,二级,离,lí,动
390,二级,里面,lǐmiàn,名
391,二级,楼,lóu,名
392,二级,路,lù,名
393,二级,路上,lùshang,名
394,二级,旅游,lǚyóu,动
395,二级,绿茶,lǜchá,名
396,二级（四级）,绿色,lǜsè,名、（形）
397,二级,慢,màn,形
398,二级,没意思,méi yìsi,
399,二级（四级）,每,měi,代、（副）
400,二级,门,mén,名
401,二级,门口,ménkǒu,名
