No.,级别,一级话题,二级话题,三级话题
1,一级,基本信息,个人信息,姓名、国籍、年龄、性别、喜好、习惯等
2,一级,基本信息,个人信息,身份、家庭成员、朋友、技能等
3,一级,基本信息,事件信息,日期、时间、地点、方位、参加者、号码等
4,一级,基本信息,物品信息,物品名称
5,一级,基本信息,物品信息,物品特征
6,一级,基本信息,环境信息,天气
7,一级,基本信息,环境信息,环境特点
8,一级,日常生活,交往,基本礼貌行为
9,一级,日常生活,交往,简单互动行为
10,一级,日常生活,交往,意愿感受
11,一级,日常生活,饮食,食物饮品
12,一级,日常生活,饮食,就餐
13,一级,日常生活,交通出行,问路
14,一级,日常生活,交通出行,出行方式
15,一级,日常生活,交通出行,出行安排
16,一级,日常生活,购物,商品名称
17,一级,日常生活,购物,商品价格
18,一级,日常生活,购物,商品选购
19,一级,日常生活,医疗健康,生病、看病、探病等
20,一级,日常生活,休闲,休闲活动
21,一级,教育情况,学习情况,课程信息
22,一级,教育情况,学习情况,学习内容
23,一级,教育情况,学习情况,教育层次
24,一级,教育情况,校园生活,学校情况
25,一级,教育情况,校园生活,课后活动
26,一级,职场生活,工作情况,工作信息
27,一级,职场生活,工作情况,工作评价
28,一级,职场生活,职业,职业种类
29,一级,文化与传统,饮食文化,中餐
30,一级,文化与传统,饮食文化,传统饮品
31,二级,基本信息,个人信息,外貌、穿着、生日等
32,二级,基本信息,个人信息,身份、习惯、爱好、来处等
33,二级,基本信息,事件信息,事件、人物、时间、方式、地址、原因、变化、状态等
34,二级,基本信息,物品信息,名称、颜色、差别、数量、所在、特点等
35,二级,基本信息,环境信息,天气
36,二级,基本信息,环境信息,环境特征
37,二级,日常生活,交往,基本礼貌行为
38,二级,日常生活,交往,简单互动行为
39,二级,日常生活,交往,意愿感受
40,二级,日常生活,饮食,食物饮品
41,二级,日常生活,饮食,饮食习惯
42,二级,日常生活,饮食,就餐
43,二级,日常生活,交通出行,问路
44,二级,日常生活,交通出行,出行方式
45,二级,日常生活,交通出行,出行安排
46,二级,日常生活,交通出行,出行感受
47,二级,日常生活,购物,商品选购
48,二级,日常生活,购物,商品描述
49,二级,日常生活,医疗健康,生病
50,二级,日常生活,医疗健康,就医
51,二级,日常生活,休闲,休闲活动
52,二级,日常生活,休闲,休闲安排
53,二级,日常生活,家庭生活,家庭关系
54,二级,日常生活,家庭生活,家庭活动
55,二级,教育情况,学习情况,基本情况
56,二级,教育情况,学习情况,学习经历
57,二级,教育情况,校园生活,学校情况
58,二级,教育情况,校园生活,课后活动
59,二级,职场生活,工作情况,工作信息
60,二级,职场生活,工作情况,工作经历、工作感受
61,二级,职场生活,职业,职业状况
62,二级,文化与传统,传统习俗,节日
63,二级,文化与传统,饮食文化,中餐印象
64,二级,文化与传统,姓氏文化,主要姓氏、正式称谓等
65,三级,日常生活,个人情况,个人信息
66,三级,日常生活,个人情况,个人特征
67,三级,日常生活,日常事务,事务处理
68,三级,日常生活,日常事务,业务办理
69,三级,日常生活,交往,礼貌行为
70,三级,日常生活,交往,意愿感受
71,三级,日常生活,饮食,食物饮品
72,三级,日常生活,饮食,饮食习惯
73,三级,日常生活,饮食,就餐
74,三级,日常生活,交通出行,出行方式
75,三级,日常生活,交通出行,出行安排
76,三级,日常生活,交通出行,出行经历
77,三级,日常生活,交通出行,交通规则
78,三级,日常生活,购物,商品选购
79,三级,日常生活,购物,购物经历
80,三级,日常生活,医疗健康,生病
81,三级,日常生活,医疗健康,就医
82,三级,日常生活,医疗健康,探病
83,三级,日常生活,医疗健康,健康观念
84,三级,日常生活,休闲,休闲活动
85,三级,日常生活,休闲,活动体验
86,三级,日常生活,社区,居住情况
87,三级,日常生活,家庭生活,生活习惯
88,三级,日常生活,家庭生活,家庭关系
89,三级,日常生活,家庭生活,家庭事务
90,三级,日常生活,家庭生活,居家生活
91,三级,教育情况,学习情况,课程情况
92,三级,教育情况,学习情况,学习活动
93,三级,教育情况,学习情况,学习环境
94,三级,教育情况,学习情况,学习经历
95,三级,教育情况,校园生活,校园活动
96,三级,教育情况,校园生活,学校情况
97,三级,教育情况,教育问题,家庭教育
98,三级,职场生活,日常办公,办公事务
99,三级,职场生活,日常办公,工作表现
100,三级,职场生活,日常办公,工作环境
101,三级,职场生活,日常办公,同事相处
102,三级,职场生活,职业与经历,工作经历
103,三级,职场生活,职业与经历,职业评价
