No.,级别,类别,类别名称,细目,语法内容,例句
1,一级,语素,前缀,,小—、第—,"小高去哪儿了？
今天我们学习第一课。"
2,一级,语素,后缀,,—们、—边,"同学们，你们好！
学校里边有超市。
外边正在下雨呢。
电影院在医院的后边。"
3,一级,词类,名词,方位名词,上、下、里、外、前、后,"桌子上有几本书？
书店里的人很多。
他们都在国外。"
4,一级,词类,动词,能愿动词,会、能,"我会说中文。
他不会开车。
你明天能不能去？
她生病了，不能来上课。"
5,一级,词类,动词,能愿动词,想、要,"我想买一些水果。
你想喝茶吗？
他们要去书店。
我要学习汉语。"
6,一级,词类,动词,能愿动词,可以,"这儿不可以吃东西。
我可以问一个问题吗？"
7,一级,词类,动词,离合词,看病、睡觉、说话、上课、下课、上班、下班、生病,"他去医院看病了。
我想睡一觉，休息一下（儿）。
上课不要说话。
今天我上中文课。
我下了课要去食堂。
下了班你做什么？
她昨天生病了。"
8,一级,词类,代词,疑问代词,多、多少、几、哪、哪儿、哪里、哪些、什么、谁、怎么、怎么样,"你弟弟多大？
这件衣服多少钱？
现在几点？
她是哪国人？
你去哪儿？
你住在哪里？
哪些是汉语书？
那是什么？
那个人是谁？
你怎么去学校？
明天天气怎么样？"
9,一级,词类,代词,人称代词,我、你、您、他、她、我们、你们、他们、她们、它、它们、大家,"我是学生。
你是哪国人？
老师，您好！
他会开车吗？
她是不是老师？
我们都是大学生。
你们是学生吗？
他们去哪儿了？
她们都是我的朋友。
你看，它正在吃饭呢。
这些小狗真漂亮，它们叫什么名字？
大家都喜欢学习汉语。"
10,一级,词类,代词,指示代词,这、那、这儿、那儿、这里、那里、这些、那些、有的、这个、那个、有些,"这是谁的书？
那个手机多少钱？
我在这儿学习中文。
那儿有一家书店。
这里是我的家。
那里有一家饭店。
这些是老师的书。
我不认识那些人。
到了饭店，大家有的想吃米饭，有的想吃面条。
这个杯子多少钱？
她在那个房间。
有些学生不在学校住。"
11,一级,词类,数词,,一、二/两、三、四、五、六、七、八、九、零、十、百、半、千,一个、两百、五十八、一百零六、两千三百五十、九点半、半个小时
12,一级,词类,量词,名量词,专用名量词：本、个、家、口、块、件、只、元,"这本书是中文书。
我吃了两个包子。
前边有一家书店。
你家有几口人？
我有十块钱。
这只小猫真漂亮。
这件衣服三百元。"
13,一级,词类,量词,名量词,借用名量词：杯,喝杯茶吧。
14,一级,词类,量词,时量词,日、号、岁、点、分、年、天,"今天几月几日（号）？
她今年几岁？
现在八点二十分。
一年有十二个月。
你一天学习几个汉字？"
15,一级,词类,副词,程度副词,非常、很、太、真、有（一）点儿,"我非常喜欢学中文。
这里的水果很便宜。
房间里太热了。
这儿的菜真好吃。
今天天气有点儿冷。"
16,一级,词类,副词,范围副词,都1,"我们都学习汉语。
他们都是中国学生。"
17,一级,词类,副词,时间副词,在、正在,"他们在做什么？
学生们正在上课。"
18,一级,词类,副词,频率副词,再1,"我想再买一本。
我再问一个问题，可以吗？"
19,一级,词类,副词,关联副词,还1、也,"我想吃面条儿，还想吃包子。
我有两个姐姐，还有一个哥哥。
他是学生，我也是学生。
我学习汉语，我弟弟也学习汉语。"
20,一级,词类,副词,否定副词,不、没（有）、不要,"她不是老师。
我没看电视。
她去超市了，我没有去。
请大家不要说话。"
21,一级,词类,介词,引出时间、处所,在,"我想在中国工作。
你在哪儿学习中文？"
22,一级,词类,介词,引出对象,和1、对,"我没和她一起去超市。
我对老师说“谢谢”。"
23,一级,词类,连词,连接词语或短语,和2,"我和姐姐都喜欢唱歌。
今天和明天都下雨。"
24,一级,词类,助词,结构助词,的1,"这是你的手机吗？
她是我的好朋友。"
25,一级,词类,助词,动态助词,了1,"今天我们学了十个汉字。
我买了一些苹果。"
26,一级,词类,助词,语气助词,吧1、了2 、吗、呢1、呢2、呢3,"我们走吧。
八点了，起床吧。
她病了，在家休息呢。
他是中国人吗？
这个电影好看吗？
她正在学习呢1。
我是中国人，你呢2？
A：你的手机呢3？
B：我的手机在房间里。"
27,一级,词类,叹词,,喂,"喂，请问，李老师在吗？
喂，你去哪儿？"
28,一级,短语,结构类型,基本结构类型,联合短语,哥哥姐姐、今天和明天、有没有
